"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.587763782103713,0.457611461334744,0.707546747958679,0.762962962962963,0.691669566788905,0.829620449838914,0.732142857142857,0.686507936507937,0.777777777777778
"Eligibility",-0.105263157894737,NA,NA,0.454545454545455,NA,NA,0.803571428571429,NA,NA
"Recruitment",0.85929648241206,NA,NA,0.916666666666667,NA,NA,0.785714285714286,NA,NA
"Setting",0.333333333333333,NA,NA,0.933333333333333,NA,NA,0.732142857142857,NA,NA
"Organization",0.466666666666667,NA,NA,0.714285714285714,NA,NA,0.75,NA,NA
"Flex. delivery",0.689750692520776,NA,NA,0.818181818181818,NA,NA,0.803571428571429,NA,NA
"Flex. adherence",0.35632183908046,NA,NA,0.666666666666667,NA,NA,0.571428571428571,NA,NA
"Follow-up",0.673469387755102,NA,NA,0.666666666666667,NA,NA,0.892857142857143,NA,NA
"Outcome",0.575757575757576,NA,NA,0.863636363636364,NA,NA,0.607142857142857,NA,NA
"Analysis",0.655172413793104,NA,NA,0.75,NA,NA,0.642857142857143,NA,NA
