"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.623845797995374,0.521698510619084,0.717337204905627,0.659259259259259,0.578947368421053,0.725606718666809,0.732142857142857,0.688492063492063,0.775793650793651
"Eligibility",0.200815494393476,NA,NA,0.272727272727273,NA,NA,0.803571428571429,NA,NA
"Recruitment",0.823455233291299,NA,NA,0.833333333333333,NA,NA,0.785714285714286,NA,NA
"Setting",0.323262839879154,NA,NA,0.666666666666667,NA,NA,0.732142857142857,NA,NA
"Organization",0.441969519343494,NA,NA,0.642857142857143,NA,NA,0.75,NA,NA
"Flex. delivery",0.614590502408809,NA,NA,0.636363636363636,NA,NA,0.803571428571429,NA,NA
"Flex. adherence",0.353302057019127,NA,NA,0.666666666666667,NA,NA,0.571428571428571,NA,NA
"Follow-up",0.792975970425139,NA,NA,0.666666666666667,NA,NA,0.892857142857143,NA,NA
"Outcome",0.687732342007435,NA,NA,0.863636363636364,NA,NA,0.607142857142857,NA,NA
"Analysis",0.567149758454106,NA,NA,0.55,NA,NA,0.642857142857143,NA,NA
