"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","deferred","3","5","deferred","4","deferred","5","deferred","deferred"
"1529","deferred","deferred","deferred","deferred","3","deferred","deferred","deferred","deferred"
"1567","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"1568","4","4","deferred","deferred","deferred","deferred","deferred","deferred","5"
"1569","deferred","deferred","deferred","deferred","4","deferred","deferred","5","5"
"1570","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"1769","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"1770","deferred","deferred","deferred","deferred","NA","NA","deferred","deferred","5"
"1771","deferred","5","deferred","deferred","NA","deferred","deferred","deferred","deferred"
"1772","deferred","deferred","deferred","deferred","deferred","NA","4","5","5"
"1773","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"648","deferred","deferred","deferred","deferred","deferred","NA","5","5","deferred"
"650","4","deferred","deferred","deferred","deferred","deferred","5","5","deferred"
"651","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","4"
"655","4","NA","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"657","deferred","deferred","4","4","4","deferred","deferred","5","5"
"663","deferred","4","deferred","deferred","4","deferred","deferred","deferred","deferred"
"664","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","5"
"665","4","deferred","deferred","deferred","deferred","deferred","4","deferred","deferred"
"666","4","deferred","deferred","deferred","NA","deferred","deferred","5","deferred"
"668","deferred","deferred","deferred","deferred","deferred","deferred","4","deferred","5"
"669","deferred","4","deferred","deferred","5","deferred","deferred","deferred","deferred"
"670","deferred","deferred","deferred","NA","5","NA","deferred","5","5"
"671","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"673","deferred","deferred","5","deferred","NA","deferred","deferred","5","deferred"
"674","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"675","deferred","deferred","deferred","deferred","deferred","NA","deferred","5","deferred"
"677","deferred","NA","deferred","5","deferred","NA","4","deferred","deferred"
"678","deferred","deferred","deferred","deferred","deferred","NA","deferred","5","deferred"
"679","deferred","deferred","deferred","deferred","deferred","deferred","4","5","deferred"
"680","deferred","deferred","deferred","4","deferred","NA","deferred","5","deferred"
"681","4","deferred","4","deferred","deferred","deferred","4","deferred","deferred"
"684","deferred","deferred","5","5","5","deferred","deferred","5","deferred"
"685","deferred","deferred","deferred","deferred","5","NA","deferred","5","deferred"
"686","deferred","deferred","1","deferred","deferred","NA","5","5","5"
"687","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"688","4","NA","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"689","deferred","deferred","5","deferred","deferred","NA","5","deferred","deferred"
"690","4","deferred","deferred","4","deferred","deferred","deferred","deferred","deferred"
"691","4","deferred","deferred","4","deferred","deferred","4","deferred","deferred"
"692","4","3","deferred","deferred","deferred","deferred","4","5","deferred"
"693","deferred","deferred","deferred","deferred","deferred","NA","4","deferred","deferred"
"694","deferred","deferred","deferred","deferred","deferred","NA","deferred","5","5"
"695","5","deferred","deferred","deferred","deferred","NA","deferred","5","deferred"
"696","deferred","NA","deferred","deferred","deferred","NA","deferred","deferred","NA"
"697","deferred","deferred","4","4","4","deferred","deferred","deferred","5"
"705","deferred","deferred","4","deferred","deferred","deferred","deferred","5","5"
"712","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"713","deferred","deferred","3","deferred","deferred","deferred","4","deferred","deferred"
"714","4","deferred","deferred","5","5","NA","5","5","deferred"
"715","deferred","deferred","deferred","deferred","4","deferred","4","deferred","deferred"
"722","5","5","5","5","5","deferred","5","5","5"
"725","deferred","deferred","deferred","deferred","deferred","NA","deferred","5","deferred"
"733","4","5","5","deferred","deferred","deferred","deferred","deferred","deferred"
