"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.672838587615059,0.56425739433981,0.783751502384621,0.685314685314685,0.605650707599516,0.762229302340724,0.705761316872428,0.65843621399177,0.746913580246914
"Eligibility",0.480769230769231,NA,NA,0.6,NA,NA,0.722222222222222,NA,NA
"Recruitment",0.547680412371134,NA,NA,0.666666666666667,NA,NA,0.777777777777778,NA,NA
"Setting",0.329787234042553,NA,NA,0.5,NA,NA,0.777777777777778,NA,NA
"Organization",0.645203679369251,NA,NA,0.8,NA,NA,0.814814814814815,NA,NA
"Flex. delivery",0.635703165542294,NA,NA,0.588235294117647,NA,NA,0.685185185185185,NA,NA
"Flex. adherence",0.6,NA,NA,0.8,NA,NA,0.62962962962963,NA,NA
"Follow-up",0.63618864292589,NA,NA,0.611111111111111,NA,NA,0.666666666666667,NA,NA
"Outcome",0.670480549199085,NA,NA,0.91304347826087,NA,NA,0.574074074074074,NA,NA
"Analysis",0.65264720435428,NA,NA,0.5625,NA,NA,0.703703703703704,NA,NA
