"","Eligibility","Recruitment","Setting","Organization","Flex. delivery","Flex. adherence","Follow-up","Outcome","Analysis"
"1528","deferred","3","5","deferred","deferred","deferred","5","deferred","deferred"
"1529","3","deferred","NA","deferred","deferred","deferred","deferred","deferred","deferred"
"1567","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"1568","4","4","deferred","deferred","deferred","deferred","deferred","deferred","5"
"1569","deferred","deferred","deferred","deferred","4","3","deferred","5","5"
"1570","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"1769","deferred","deferred","deferred","deferred","5","deferred","deferred","deferred","deferred"
"1770","deferred","deferred","deferred","deferred","NA","NA","deferred","deferred","deferred"
"1771","deferred","5","deferred","deferred","deferred","NA","deferred","NA","5"
"1772","deferred","deferred","deferred","deferred","deferred","NA","4","5","deferred"
"1773","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5"
"648","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"650","4","deferred","deferred","deferred","deferred","deferred","5","5","deferred"
"651","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","4"
"655","4","NA","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"657","deferred","4","deferred","deferred","deferred","deferred","deferred","5","5"
"663","4","4","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"664","deferred","4","4","deferred","deferred","NA","deferred","deferred","5"
"665","deferred","deferred","deferred","deferred","deferred","deferred","4","deferred","deferred"
"666","4","NA","deferred","NA","NA","deferred","deferred","5","deferred"
"668","deferred","deferred","deferred","deferred","deferred","NA","4","deferred","deferred"
"669","3","4","deferred","deferred","5","deferred","deferred","deferred","deferred"
"670","deferred","deferred","deferred","NA","deferred","NA","deferred","5","5"
"671","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"673","deferred","deferred","5","deferred","NA","NA","deferred","5","deferred"
"674","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"675","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred"
"677","deferred","deferred","deferred","deferred","deferred","NA","4","5","deferred"
"678","deferred","deferred","deferred","deferred","deferred","NA","deferred","5","deferred"
"679","deferred","deferred","deferred","deferred","deferred","deferred","4","5","deferred"
"680","deferred","deferred","deferred","4","deferred","deferred","deferred","5","deferred"
"681","4","deferred","4","deferred","deferred","deferred","4","5","deferred"
"684","deferred","deferred","5","5","5","deferred","deferred","5","deferred"
"685","deferred","deferred","5","3","deferred","deferred","deferred","5","deferred"
"686","deferred","deferred","1","deferred","deferred","NA","5","5","5"
"687","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"688","4","NA","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"689","deferred","deferred","5","deferred","deferred","NA","5","deferred","deferred"
"690","4","deferred","deferred","4","deferred","deferred","deferred","deferred","deferred"
"691","4","deferred","deferred","4","deferred","deferred","4","deferred","deferred"
"692","deferred","deferred","deferred","deferred","deferred","deferred","deferred","5","deferred"
"693","deferred","deferred","deferred","3","3","deferred","deferred","3","deferred"
"694","deferred","deferred","deferred","deferred","deferred","NA","4","5","5"
"695","5","deferred","deferred","deferred","deferred","NA","deferred","5","5"
"697","deferred","NA","4","4","deferred","deferred","deferred","deferred","5"
"705","deferred","deferred","4","deferred","deferred","deferred","deferred","5","5"
"712","deferred","deferred","deferred","4","deferred","NA","deferred","deferred","deferred"
"713","deferred","deferred","3","deferred","deferred","deferred","4","deferred","deferred"
"714","4","deferred","deferred","deferred","5","NA","deferred","5","deferred"
"715","deferred","deferred","deferred","deferred","deferred","deferred","4","deferred","deferred"
"722","5","5","5","5","5","deferred","5","5","5"
"725","deferred","deferred","deferred","deferred","deferred","NA","deferred","5","deferred"
"733","4","5","5","5","deferred","deferred","deferred","deferred","deferred"
