"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.674495308501564,0.534238550177431,0.822939747100846,0.848920863309353,0.773366729670542,0.916082559917215,0.708595387840671,0.662473794549266,0.752567284966865
"Eligibility",0.30718954248366,NA,NA,0.75,NA,NA,0.69811320754717,NA,NA
"Recruitment",0.730279898218829,NA,NA,0.846153846153846,NA,NA,0.754716981132076,NA,NA
"Setting",0.201807228915663,NA,NA,0.857142857142857,NA,NA,0.735849056603774,NA,NA
"Organization",0.651315789473684,NA,NA,0.833333333333333,NA,NA,0.773584905660377,NA,NA
"Flex. delivery",0.645484949832776,NA,NA,0.8,NA,NA,0.811320754716981,NA,NA
"Flex. adherence",0.497153700189753,NA,NA,0.736842105263158,NA,NA,0.641509433962264,NA,NA
"Follow-up",1,NA,NA,1,NA,NA,0.716981132075472,NA,NA
"Outcome",0.628504672897196,NA,NA,0.884615384615385,NA,NA,0.509433962264151,NA,NA
"Analysis",0.881696428571429,NA,NA,0.928571428571429,NA,NA,0.735849056603774,NA,NA
