"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.636341771390776,0.495572918201626,0.7802281757044,0.7890625,0.700733096895727,0.870960677121578,0.746031746031746,0.694444444444444,0.795584513748402
"Eligibility",0.477178423236514,NA,NA,0.538461538461538,NA,NA,0.767857142857143,NA,NA
"Recruitment",1,NA,NA,1,NA,NA,0.767857142857143,NA,NA
"Setting",0.176470588235294,NA,NA,0.857142857142857,NA,NA,0.75,NA,NA
"Organization",0.457627118644068,NA,NA,0.555555555555556,NA,NA,0.839285714285714,NA,NA
"Flex. delivery",0.655913978494624,NA,NA,0.923076923076923,NA,NA,0.767857142857143,NA,NA
"Flex. adherence",0.728155339805825,NA,NA,0.777777777777778,NA,NA,0.678571428571429,NA,NA
"Follow-up",-0.0181818181818181,NA,NA,0.5,NA,NA,0.892857142857143,NA,NA
"Outcome",0.423868312757202,NA,NA,0.814814814814815,NA,NA,0.517857142857143,NA,NA
"Analysis",0.801065719360568,NA,NA,0.866666666666667,NA,NA,0.732142857142857,NA,NA
