"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.709043055072752,0.608468846917321,0.795769032823389,0.671875,0.59061602163062,0.75,0.746031746031746,0.692460317460317,0.795634920634921
"Eligibility",0.717330342120022,NA,NA,0.538461538461538,NA,NA,0.767857142857143,NA,NA
"Recruitment",0.970401691331924,NA,NA,0.923076923076923,NA,NA,0.767857142857143,NA,NA
"Setting",0.11864406779661,NA,NA,0.5,NA,NA,0.75,NA,NA
"Organization",0.40327868852459,NA,NA,0.555555555555556,NA,NA,0.839285714285714,NA,NA
"Flex. delivery",0.848443843031123,NA,NA,0.769230769230769,NA,NA,0.767857142857143,NA,NA
"Flex. adherence",0.777335984095427,NA,NA,0.777777777777778,NA,NA,0.678571428571429,NA,NA
"Follow-up",0.127478753541077,NA,NA,0.166666666666667,NA,NA,0.892857142857143,NA,NA
"Outcome",0.518948964123295,NA,NA,0.814814814814815,NA,NA,0.517857142857143,NA,NA
"Analysis",0.648309178743961,NA,NA,0.533333333333333,NA,NA,0.732142857142857,NA,NA
