"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.657283752884524,0.606778530706718,0.705578417018877,0.785714285714286,0.75487012987013,0.816517199560381,0,0,0
"A1",0.245918195589968,NA,NA,0.642857142857143,NA,NA,0,NA,NA
"A2",0.494280553883203,NA,NA,0.732142857142857,NA,NA,0,NA,NA
"A3",0.18018018018018,NA,NA,0.883928571428571,NA,NA,0,NA,NA
"A4",0.155354449472096,NA,NA,0.821428571428571,NA,NA,0,NA,NA
"A5",0.351208209202251,NA,NA,0.6875,NA,NA,0,NA,NA
"A6",0.60377358490566,NA,NA,0.946428571428571,NA,NA,0,NA,NA
"A7",0.722176285761535,NA,NA,0.866071428571429,NA,NA,0,NA,NA
"A8",0.428228228228228,NA,NA,0.696428571428571,NA,NA,0,NA,NA
"A9",0.617000488519785,NA,NA,0.8125,NA,NA,0,NA,NA
"A10",0.375196681447575,NA,NA,0.651785714285714,NA,NA,0,NA,NA
"A11",0.433563218390804,NA,NA,0.901785714285714,NA,NA,0,NA,NA
