"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.826149742133021,0.79640087552986,0.851426602297214,0.891203703703704,0.872354497354497,0.907068318428966,0,0,0
"P1",0.852631578947368,NA,NA,0.991071428571429,NA,NA,0,NA,NA
"P2",0.739130434782609,NA,NA,0.946428571428571,NA,NA,0,NA,NA
"P3",NA,NA,NA,1,NA,NA,0,NA,NA
"P4",0.577557755775578,NA,NA,0.857142857142857,NA,NA,0,NA,NA
"P5",0.762005949851254,NA,NA,0.955357142857143,NA,NA,0,NA,NA
"P6",0.603071470761961,NA,NA,0.892857142857143,NA,NA,0,NA,NA
"P7",0.648351648351648,NA,NA,0.964285714285714,NA,NA,0,NA,NA
"P8",0.817164179104478,NA,NA,0.9375,NA,NA,0,NA,NA
"P9",0.746606334841629,NA,NA,0.892857142857143,NA,NA,0,NA,NA
"P10",0.754539762053851,NA,NA,0.875,NA,NA,0,NA,NA
"P11",0.708838821490468,NA,NA,0.866071428571429,NA,NA,0,NA,NA
"P12",0.714285714285714,NA,NA,0.848214285714286,NA,NA,0,NA,NA
"P13",0.767746052001914,NA,NA,0.883928571428571,NA,NA,0,NA,NA
"P14",0.308641975308642,NA,NA,0.857142857142857,NA,NA,0,NA,NA
"P15",0.424733306993283,NA,NA,0.883928571428571,NA,NA,0,NA,NA
"P16",0.321212121212121,NA,NA,0.964285714285714,NA,NA,0,NA,NA
"P17",0.610640870616687,NA,NA,0.794642857142857,NA,NA,0,NA,NA
"P18",0.418270699663917,NA,NA,0.848214285714286,NA,NA,0,NA,NA
"P19",0.516666666666667,NA,NA,0.741071428571429,NA,NA,0,NA,NA
"P20",0.428886438809261,NA,NA,0.669642857142857,NA,NA,0,NA,NA
"P21",0.612289052358286,NA,NA,0.857142857142857,NA,NA,0,NA,NA
"P22",0.491166077738516,NA,NA,0.919642857142857,NA,NA,0,NA,NA
"P23",0.494356659142212,NA,NA,0.982142857142857,NA,NA,0,NA,NA
"P24",0.247311827956989,NA,NA,0.910714285714286,NA,NA,0,NA,NA
"P25",0.629302736098853,NA,NA,0.866071428571429,NA,NA,0,NA,NA
"P26",0.193415637860082,NA,NA,0.9375,NA,NA,0,NA,NA
"P27",0.696933253156945,NA,NA,0.919642857142857,NA,NA,0,NA,NA
