"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.452262298406812,0.422743735330452,0.480592229301252,0.685694869181108,0.664296773724365,0.707781175671084,0,0,0
"P1",0.695104895104895,NA,NA,0.963302752293578,NA,NA,0,NA,NA
"P2",0.0349866666666666,NA,NA,0.238532110091743,NA,NA,0,NA,NA
"P3",0,NA,NA,0.981651376146789,NA,NA,0,NA,NA
"P4",0.289270895080024,NA,NA,0.798165137614679,NA,NA,0,NA,NA
"P5",0.842257597684515,NA,NA,0.972477064220184,NA,NA,0,NA,NA
"P6",0.352154531946508,NA,NA,0.853211009174312,NA,NA,0,NA,NA
"P7",0.0880537649156494,NA,NA,0.440366972477064,NA,NA,0,NA,NA
"P8",0.17632241813602,NA,NA,0.587155963302752,NA,NA,0,NA,NA
"P9",0.396957123098202,NA,NA,0.853211009174312,NA,NA,0,NA,NA
"P10",0.657472067039106,NA,NA,0.834862385321101,NA,NA,0,NA,NA
"P11",0.401255558461941,NA,NA,0.807339449541284,NA,NA,0,NA,NA
"P12",0.480775774072814,NA,NA,0.743119266055046,NA,NA,0,NA,NA
"P13",0.275747508305648,NA,NA,0.522935779816514,NA,NA,0,NA,NA
"P14",0.514860014357502,NA,NA,0.715596330275229,NA,NA,0,NA,NA
"P15",0.232214134773421,NA,NA,0.44954128440367,NA,NA,0,NA,NA
"P16",0.065523576240049,NA,NA,0.229357798165138,NA,NA,0,NA,NA
"P17",0.378604963112005,NA,NA,0.688073394495413,NA,NA,0,NA,NA
"P18",0.277912425270642,NA,NA,0.623853211009174,NA,NA,0,NA,NA
"P19",0.508334967640714,NA,NA,0.788990825688073,NA,NA,0,NA,NA
"P20",0.283444724443958,NA,NA,0.44954128440367,NA,NA,0,NA,NA
"P21",0.806880259855308,NA,NA,0.889908256880734,NA,NA,0,NA,NA
"P22",0.301364985163205,NA,NA,0.504587155963303,NA,NA,0,NA,NA
"P23",0.0855515277058521,NA,NA,0.256880733944954,NA,NA,0,NA,NA
"P24",0.113821138211382,NA,NA,0.779816513761468,NA,NA,0,NA,NA
"P25",0.37692707431145,NA,NA,0.697247706422018,NA,NA,0,NA,NA
"P26",0.221428571428571,NA,NA,0.944954128440367,NA,NA,0,NA,NA
"P27",0.760821863155795,NA,NA,0.899082568807339,NA,NA,0,NA,NA
