"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.789117564138709,0.681191459326581,0.874447095861083,0.88961038961039,0.8280045619182,0.935064935064935,0,0,0
"A1",0.391304347826087,NA,NA,0.714285714285714,NA,NA,0,NA,NA
"A2",0.857142857142857,NA,NA,0.928571428571429,NA,NA,0,NA,NA
"A3",0.787878787878788,NA,NA,0.928571428571429,NA,NA,0,NA,NA
"A4",1,NA,NA,1,NA,NA,0,NA,NA
"A5",-0.0181818181818183,NA,NA,0.928571428571429,NA,NA,0,NA,NA
"A6",0.852242744063325,NA,NA,0.928571428571429,NA,NA,0,NA,NA
"A7",0.724137931034483,NA,NA,0.857142857142857,NA,NA,0,NA,NA
"A8",0.666666666666667,NA,NA,0.821428571428571,NA,NA,0,NA,NA
"A9",0.622641509433962,NA,NA,0.821428571428571,NA,NA,0,NA,NA
"A10",0.832335329341317,NA,NA,0.928571428571429,NA,NA,0,NA,NA
"A11",0.844444444444444,NA,NA,0.928571428571429,NA,NA,0,NA,NA
