publication_id,tool,quote,best_match_source,best_match,similarity
100,AMSTAR,Study quality was assessed using the Downs and Black tool.,fulltext,Study quality was assessed using the Downs and Black tool.,100.0
100,AMSTAR,"Two authors (DD and MM) independently searched Medline and EMBASE up to June 24, 2015 using the following search strategy ‘‘([paediatric surgery OR pediatric surgery OR pediatric surgeon OR paediatric surgeon] AND (appendectomy OR appendicectomy)].’’ The search terms were inputted as free text.",fulltext,"2 authors (DD and MM) independently searched Medline and EMBASE up to June 24, 2015 using the following search strategy ‘‘([paediatric surgery OR pediatric surgery OR pediatric surgeon OR paediatric surgeon] AND (appendectomy OR appendicectomy)].’’ The search terms were inputted as free text.",98.98305084745763
100,AMSTAR,"Statistical analyses were completed using RevMan version 5.3 (Cochrane Collaboration, Copenhagen, Denmark). Pooled risk ratios and pooled mean differences were used to evaluate the effect of treatment by general surgery units or pediatric surgery units on dichotomous and continuous outcomes, respectively.",fulltext,"Statistical analyses were completed using RevMan version 5.3 10 (Cochrane Collaboration, Copenhagen, Denmark). Pooled risk ratios and pooled mean differences were used to evaluate the effect of treatment by general surgery units or pediatric surgery units on dichotomous and continuous outcomes, respectively.",100.0
100,AMSTAR,The authors have no funding and conflicts of interest to disclose.,fulltext,The authors have no funding and conflicts of interest to disclose.,100.0
100,AMSTAR,The potential for publication bias was evaluated by visually inspecting funnel plots.,fulltext,The potential for publication bias was evaluated by visually inspecting funnel plots.,100.0
100,AMSTAR,This systematic article was conducted according to the Preferred Reporting Items for Systematic Reviews and Meta-Analyses guidelines. There was no requirement for ethical approval.,fulltext,This systematic article was conducted according to the Preferred Reporting Items for Systematic Reviews and MetaAnalyses guidelines. There was no requirement for ethical approval.,99.44444444444444
100,AMSTAR,"In order to identify studies and determine eligibility, 2 authors (DD and MM) independently searched Medline and EMBASE up to June 24, 2015",fulltext,"In order to identify studies and determine eligibility, 2 authors (DD and MM) independently searched Medline and EMBASE up to June 24, 2015",100.0
100,AMSTAR,Characteristics of the 9 included studies are shown in Table 1 and results from the studies are provided in Table 2.,fulltext,"Characteristics of the 9 included studies 8,11–18 are shown in Table 1 and results from the studies are provided in Table 2.",100.0
100,AMSTAR,Two authors (DD and DH) independently extracted data from eligible studies using an electronic spreadsheet.,fulltext,Two authors (DD and DH) independently extracted data from eligible studies using an electronic spreadsheet.,100.0
100,AMSTAR,"However, our article is based upon a group of heterogeneous and mostly retrospective studies, and therefore there is little external validity.",fulltext,y was longer. Our article is based upon a group of heterogeneous and mostly retrospective studies and therefore there is little external validity.,96.47887323943662
100,AMSTAR,"In addition, conference abstracts from a variety of pediatric surgery meetings were searched by 1 author (EM).",fulltext, variety of pediatric surgery meetings were searched by 1 author (EM).,63.63636363636363
100,PRISMA,Study quality was assessed using the Downs and Black tool.,fulltext,Study quality was assessed using the Downs and Black tool.,100.0
100,PRISMA,The results of the quality assessment are available in a supplementary table and are also summarized in Table 1.,fulltext,The results of the quality assessment are available in a supplementary table and are also summarized in Table 1.,100.0
100,PRISMA,"Titles and abstracts were examined initially and then full manuscripts were obtained to finalize eligibility. The reference lists of eligible studies were examined to identify further studies. In cases where there was disagreement regarding eligibility, a third reviewer (DH) was consulted.",fulltext,"Titles and abstracts were examined initially and then full manuscripts were obtained to finalize eligibility. The reference lists of eligible studies were examined to identify further studies. In cases where there was disagreement regarding eligibility, a third reviewer (DH) was consulted.",100.0
100,PRISMA,Systematic Review and Meta-Analysis on the Influence of Surgeon Specialization on Outcomes Following Appendicectomy in Children,fulltext,Systematic Review and Meta-Analysis on the Influence of Surgeon Specialization on Outcomes Following Appendicectomy in Children,100.0
100,PRISMA,The potential for publication bias was evaluated by visually inspecting funnel plots.,fulltext,The potential for publication bias was evaluated by visually inspecting funnel plots.,100.0
100,PRISMA,"At present, appendicitis in pediatric patients is managed by both general surgeons and specialized pediatric surgeons; however, the influence of surgeon subspecialization on outcomes is unclear.",fulltext,"At present, appendicitis in pediatric patients is managed by both general surgeons and specialized pediatric surgeons; 8 however, the influence of surgeon subspecialization on outcomes is unclear.",100.0
100,PRISMA,"We identified 9 relevant studies involving 50,963 children who were managed by general surgery teams and 15,032 children who were managed by pediatric surgery teams",fulltext,"We identified 9 relevant studies involving 50,963 children who were managed by general surgery teams and 15,032 children who were managed by pediatric surgery teams",100.0
100,PRISMA,Characteristics of the 9 included studies are shown in Table 1 and results from the studies are provided in Table 2.,fulltext,"Characteristics of the 9 included studies 8,11–18 are shown in Table 1 and results from the studies are provided in Table 2.",100.0
100,PRISMA,We identified 1035 Medline sources and 1868 Embase sources. Figure 1 summarizes the results of the search. A total of 1841 citations were excluded based on titles and abstracts. A total of 27 full text manuscripts were examined and 9 studies were finally eligible for inclusion.,fulltext,We identified 1035 Medline sources and 1868 Embase sources. Figure 1 summarizes the results of the search. A total of 1841 citations were excluded based on titles and abstracts. A total of 27 full text manuscripts were examined and 9 studies were finally eligible for inclusion.,100.0
100,PRISMA,We found that children who were managed by specialized pediatric surgery teams had lower rates of negative appendicectomy although mean length of stay was longer. Our article is based upon a group of heterogeneous and mostly retrospective studies and therefore there is little external validity. Further studies are needed.,fulltext,We found that children who were managed by specialized pediatric surgery teams had lower rates of negative appendicectomy although mean length of stay was longer. Our article is based upon a group of heterogeneous and mostly retrospective studies and therefore there is little external validity. Further studies are needed.,100.0
100,PRISMA,We performed a systematic review and meta-analysis to determine the influence of surgeon subspecialty on outcomes following appendicectomy in children. Our hypothesis was that surgeon specialization influences outcomes in appendicitis in children.,fulltext,We performed a systematic review and meta-analysis to determine the influence of surgeon subspecialty on outcomes following appendicectomy in children. Our hypothesis was that surgeon specialization influences outcomes in appendicitis in children.,100.0
