"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.880777039515831,0.854354202831781,0.907769460299044,0.933598937583001,0.919361537770275,0.948479798109318,0.388798701298701,0.362012987012987,0.416375482897073
"A1",0.840758293838863,NA,NA,0.918918918918919,NA,NA,0.669642857142857,NA,NA
"A2",0.84688995215311,NA,NA,0.924050632911392,NA,NA,0.294642857142857,NA,NA
"A3",0.874860335195531,NA,NA,0.933333333333333,NA,NA,0.598214285714286,NA,NA
"A4",0.879656160458453,NA,NA,0.968421052631579,NA,NA,0.151785714285714,NA,NA
"A5",0.905165114309907,NA,NA,0.987341772151899,NA,NA,0.294642857142857,NA,NA
"A6",0.938189845474614,NA,NA,0.989795918367347,NA,NA,0.125,NA,NA
"A7",0.946944576030317,NA,NA,0.971830985915493,NA,NA,0.366071428571429,NA,NA
"A8",0.91284046692607,NA,NA,0.952380952380952,NA,NA,0.8125,NA,NA
"A9",0.931034482758621,NA,NA,0.964285714285714,NA,NA,0.25,NA,NA
"A10",0.29474449019133,NA,NA,0.48,NA,NA,0.553571428571429,NA,NA
"A11",0.766666666666667,NA,NA,0.98936170212766,NA,NA,0.160714285714286,NA,NA
