"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.911970930304518,0.881885310507806,0.9400779732476,0.95,0.933647585781663,0.966624387890921,0.408766564729867,0.389738362215426,0.429153924566769
"P1",0.192592592592593,NA,NA,0.933333333333333,NA,NA,0.036697247706422,NA,NA
"P2",0.71786022433132,NA,NA,0.833333333333333,NA,NA,0.834862385321101,NA,NA
"P3",0.49537037037037,NA,NA,0.990740740740741,NA,NA,0.00917431192660551,NA,NA
"P4",0.578336557059961,NA,NA,0.957446808510638,NA,NA,0.137614678899083,NA,NA
"P5",1,NA,NA,1,NA,NA,0.229357798165138,NA,NA
"P6",0.937535816618911,NA,NA,0.988235294117647,NA,NA,0.220183486238532,NA,NA
"P7",0.776867963152508,NA,NA,0.866666666666667,NA,NA,0.587155963302752,NA,NA
"P8",0.850274725274725,NA,NA,0.934426229508197,NA,NA,0.440366972477064,NA,NA
"P9",0.568743818001978,NA,NA,0.951219512195122,NA,NA,0.247706422018349,NA,NA
"P10",0.8822576289495,NA,NA,0.944444444444444,NA,NA,0.339449541284404,NA,NA
"P11",0.935693215339233,NA,NA,0.981132075471698,NA,NA,0.513761467889908,NA,NA
"P12",0.889713322091062,NA,NA,0.951612903225806,NA,NA,0.431192660550459,NA,NA
"P13",0.892504930966469,NA,NA,0.94,NA,NA,0.541284403669725,NA,NA
"P14",0.959313176558417,NA,NA,0.978723404255319,NA,NA,0.568807339449541,NA,NA
"P15",0.407608695652174,NA,NA,0.666666666666667,NA,NA,0.944954128440367,NA,NA
"P16",1,NA,NA,1,NA,NA,0.522935779816514,NA,NA
"P17",0.961443226034666,NA,NA,0.986301369863014,NA,NA,0.330275229357798,NA,NA
"P18",1,NA,NA,1,NA,NA,0.26605504587156,NA,NA
"P19",0.857702349869452,NA,NA,0.942028985507246,NA,NA,0.36697247706422,NA,NA
"P20",0.895024077046549,NA,NA,0.943396226415094,NA,NA,0.513761467889908,NA,NA
"P21",1,NA,NA,1,NA,NA,0.577981651376147,NA,NA
"P22",0.636666666666667,NA,NA,0.8,NA,NA,0.954128440366973,NA,NA
"P23",0.893032384690873,NA,NA,0.980769230769231,NA,NA,0.522935779816514,NA,NA
"P24",0.577337354588539,NA,NA,0.896551724137931,NA,NA,0.201834862385321,NA,NA
"P25",0.620514193893947,NA,NA,0.814285714285714,NA,NA,0.357798165137615,NA,NA
"P26",-0.0186915887850467,NA,NA,0.962616822429907,NA,NA,0.018348623853211,NA,NA
"P27",0.729720155862558,NA,NA,0.905405405405405,NA,NA,0.321100917431193,NA,NA
