"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.909802472625236,0.879943828450716,0.936585861351088,0.948863636363636,0.931873662536377,0.96406160867085,0.401970778117567,0.383622154264356,0.420319401970778
"P1",0.0859538784067088,NA,NA,0.924528301886792,NA,NA,0.0275229357798165,NA,NA
"P2",0.72264631043257,NA,NA,0.85,NA,NA,0.81651376146789,NA,NA
"P3",0.49537037037037,NA,NA,0.990740740740741,NA,NA,0.00917431192660551,NA,NA
"P4",0.578336557059961,NA,NA,0.957446808510638,NA,NA,0.137614678899083,NA,NA
"P5",1,NA,NA,1,NA,NA,0.201834862385321,NA,NA
"P6",0.937535816618911,NA,NA,0.988235294117647,NA,NA,0.220183486238532,NA,NA
"P7",0.786831812255541,NA,NA,0.869565217391304,NA,NA,0.577981651376147,NA,NA
"P8",0.857655892915442,NA,NA,0.9375,NA,NA,0.412844036697248,NA,NA
"P9",0.483901515151515,NA,NA,0.942528735632184,NA,NA,0.201834862385321,NA,NA
"P10",0.852822036186875,NA,NA,0.930555555555556,NA,NA,0.339449541284404,NA,NA
"P11",0.93903803131991,NA,NA,0.981481481481482,NA,NA,0.504587155963303,NA,NA
"P12",0.929082628497072,NA,NA,0.96875,NA,NA,0.412844036697248,NA,NA
"P13",0.896025437201908,NA,NA,0.941176470588235,NA,NA,0.532110091743119,NA,NA
"P14",0.920321637426901,NA,NA,0.958333333333333,NA,NA,0.559633027522936,NA,NA
"P15",0.407608695652174,NA,NA,0.666666666666667,NA,NA,0.944954128440367,NA,NA
"P16",1,NA,NA,1,NA,NA,0.532110091743119,NA,NA
"P17",0.960564399421129,NA,NA,0.986486486486487,NA,NA,0.321100917431193,NA,NA
"P18",1,NA,NA,1,NA,NA,0.26605504587156,NA,NA
"P19",0.887783115991764,NA,NA,0.955882352941177,NA,NA,0.376146788990826,NA,NA
"P20",0.927598804383926,NA,NA,0.961538461538462,NA,NA,0.522935779816514,NA,NA
"P21",1,NA,NA,1,NA,NA,0.577981651376147,NA,NA
"P22",0.420212765957447,NA,NA,0.666666666666667,NA,NA,0.944954128440367,NA,NA
"P23",0.891108891108891,NA,NA,0.980392156862745,NA,NA,0.532110091743119,NA,NA
"P24",0.577337354588539,NA,NA,0.896551724137931,NA,NA,0.201834862385321,NA,NA
"P25",0.585971131932135,NA,NA,0.797297297297297,NA,NA,0.321100917431193,NA,NA
"P26",-0.0186915887850467,NA,NA,0.962616822429907,NA,NA,0.018348623853211,NA,NA
"P27",0.759027266028003,NA,NA,0.916666666666667,NA,NA,0.339449541284404,NA,NA
