"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27"
"100","1","deferred","1","1","0","1","1","1","1","1","1","deferred","1","deferred","1","deferred","deferred","1","1","deferred","1","deferred","deferred","1","1","1","0"
"102","deferred","0","1","deferred","0","deferred","0","0","0","0","0","0","deferred","NA","deferred","deferred","0","0","0","0","deferred","deferred","deferred","deferred","0","1","0"
"103","1","deferred","1","deferred","0","1","1","deferred","deferred","deferred","1","deferred","1","deferred","deferred","deferred","deferred","1","deferred","1","deferred","deferred","deferred","1","1","1","0"
"104","1","deferred","1","deferred","0","1","1","0","1","0","1","0","NA","NA","deferred","NA","1","1","0","deferred","NA","deferred","NA","1","1","1","1"
"105","1","deferred","1","1","0","1","1","1","1","1","1","deferred","deferred","NA","deferred","NA","1","1","deferred","deferred","NA","deferred","NA","1","1","1","deferred"
"106","1","deferred","1","1","0","1","deferred","1","1","0","1","deferred","1","deferred","deferred","deferred","1","1","deferred","1","deferred","deferred","deferred","1","deferred","1","deferred"
"107","1","deferred","1","1","0","1","deferred","1","1","1","1","deferred","1","deferred","deferred","NA","1","1","deferred","1","deferred","deferred","NA","1","deferred","1","1"
"109","1","deferred","1","1","0","1","deferred","deferred","1","deferred","1","0","1","deferred","deferred","deferred","1","1","deferred","1","deferred","deferred","deferred","1","1","1","1"
"110","1","0","1","1","0","1","1","0","1","deferred","deferred","0","deferred","NA","deferred","NA","1","1","0","deferred","NA","deferred","NA","1","1","1","0"
"111","1","deferred","deferred","0","0","deferred","deferred","0","deferred","deferred","deferred","deferred","NA","NA","deferred","NA","0","deferred","deferred","deferred","NA","deferred","NA","deferred","deferred","deferred","0"
"112","1","0","1","1","0","1","1","deferred","1","deferred","1","deferred","1","1","deferred","NA","1","1","deferred","1","1","NA","NA","1","1","1","deferred"
"113","1","deferred","1","1","0","deferred","deferred","0","1","0","0","0","NA","NA","deferred","NA","deferred","deferred","0","deferred","NA","deferred","NA","1","0","1","0"
"115","1","deferred","1","deferred","0","1","deferred","deferred","1","1","1","1","deferred","deferred","deferred","NA","1","1","1","1","deferred","deferred","NA","deferred","deferred","1","deferred"
"116","1","deferred","1","1","deferred","1","deferred","deferred","1","1","1","1","deferred","deferred","deferred","NA","1","1","1","deferred","deferred","deferred","NA","1","deferred","1","0"
"117","1","1","1","1","deferred","1","1","deferred","1","1","1","1","1","deferred","deferred","deferred","1","1","1","1","deferred","deferred","deferred","1","deferred","1","1"
"118","1","deferred","1","deferred","deferred","1","1","1","1","1","1","1","1","1","1","deferred","1","1","1","1","1","1","deferred","1","1","1","deferred"
"119","1","deferred","1","deferred","0","1","1","deferred","1","deferred","deferred","deferred","NA","NA","deferred","NA","1","1","deferred","deferred","NA","deferred","NA","1","deferred","1","deferred"
"120","1","deferred","1","1","0","1","1","deferred","1","1","1","deferred","1","deferred","deferred","NA","1","1","deferred","1","deferred","deferred","NA","1","deferred","1","1"
"121","1","deferred","1","1","0","1","1","1","1","1","1","deferred","1","deferred","deferred","NA","1","1","0","deferred","deferred","deferred","NA","1","1","1","0"
"122","deferred","1","1","1","deferred","1","1","1","1","1","1","1","1","deferred","deferred","1","1","1","1","1","deferred","deferred","deferred","1","1","1","1"
"123","1","deferred","1","deferred","0","1","1","deferred","1","1","1","deferred","1","1","deferred","NA","0","1","deferred","1","1","deferred","NA","1","deferred","1","0"
"124","1","deferred","1","1","0","1","deferred","deferred","1","1","1","deferred","1","deferred","deferred","deferred","deferred","1","deferred","1","deferred","deferred","deferred","1","deferred","1","0"
"125","0","deferred","1","1","deferred","1","1","0","1","deferred","1","0","deferred","deferred","deferred","deferred","deferred","deferred","0","0","deferred","deferred","deferred","1","1","1","0"
"126","1","deferred","1","1","0","1","1","1","1","1","1","deferred","1","deferred","deferred","deferred","1","1","0","1","deferred","deferred","deferred","1","deferred","1","0"
"127","1","0","1","deferred","deferred","1","deferred","0","1","0","deferred","deferred","NA","NA","deferred","NA","0","0","deferred","deferred","NA","deferred","NA","1","0","1","0"
"129","1","deferred","1","1","deferred","1","deferred","deferred","1","1","1","deferred","1","1","deferred","deferred","1","1","deferred","1","1","deferred","deferred","1","deferred","1","deferred"
"131","1","deferred","1","deferred","0","1","deferred","0","1","1","1","deferred","NA","NA","deferred","NA","1","1","deferred","deferred","NA","deferred","NA","1","1","1","1"
"132","1","deferred","1","deferred","0","deferred","deferred","0","deferred","0","deferred","0","deferred","NA","0","NA","0","deferred","0","deferred","NA","0","NA","1","0","1","0"
"133","deferred","0","1","0","0","0","0","0","0","0","0","deferred","deferred","NA","deferred","NA","0","0","deferred","0","NA","deferred","NA","0","0","deferred","0"
"134","deferred","1","1","deferred","deferred","1","deferred","0","1","deferred","1","deferred","NA","NA","deferred","1","deferred","deferred","deferred","deferred","deferred","deferred","deferred","1","1","1","0"
"135","1","deferred","1","1","0","1","deferred","deferred","1","0","1","deferred","deferred","NA","deferred","NA","1","1","deferred","1","NA","deferred","NA","1","1","1","0"
"136","deferred","0","1","0","0","0","deferred","0","0","0","deferred","0","deferred","NA","deferred","NA","0","deferred","0","deferred","NA","deferred","NA","deferred","0","1","deferred"
"137","1","0","1","1","deferred","1","deferred","0","1","deferred","deferred","deferred","deferred","NA","deferred","NA","deferred","deferred","deferred","1","deferred","deferred","NA","1","deferred","1","0"
"138","1","deferred","1","1","0","1","deferred","deferred","1","deferred","1","deferred","deferred","deferred","deferred","NA","1","1","deferred","deferred","deferred","deferred","NA","1","1","1","deferred"
"139","1","deferred","1","1","0","1","deferred","0","deferred","0","1","0","deferred","deferred","deferred","deferred","deferred","0","deferred","deferred","deferred","deferred","deferred","deferred","1","1","0"
"140","1","deferred","1","1","0","1","deferred","deferred","1","0","0","deferred","NA","NA","deferred","NA","1","deferred","0","deferred","NA","deferred","NA","1","deferred","1","deferred"
"141","1","deferred","1","1","0","1","1","deferred","1","0","1","0","deferred","NA","deferred","NA","1","deferred","0","deferred","deferred","deferred","deferred","1","1","1","deferred"
"142","1","1","1","1","deferred","1","1","1","1","1","1","1","1","deferred","deferred","deferred","1","1","1","deferred","deferred","deferred","deferred","1","deferred","1","deferred"
"145","1","deferred","1","deferred","0","1","deferred","deferred","1","deferred","deferred","deferred","NA","NA","deferred","deferred","1","1","deferred","deferred","NA","deferred","NA","1","1","1","deferred"
"146","1","deferred","1","1","0","1","1","deferred","1","1","1","deferred","1","1","deferred","deferred","1","1","deferred","1","1","deferred","deferred","1","1","1","deferred"
"147","1","deferred","1","1","0","1","deferred","0","1","deferred","1","deferred","1","1","deferred","deferred","deferred","1","deferred","1","1","deferred","deferred","1","1","1","0"
"148","deferred","deferred","1","deferred","0","1","deferred","deferred","1","1","1","deferred","1","deferred","deferred","deferred","1","1","deferred","1","deferred","deferred","deferred","1","1","1","0"
"149","1","1","1","1","0","1","deferred","1","1","deferred","1","deferred","NA","NA","deferred","NA","1","1","deferred","deferred","NA","deferred","NA","1","1","1","deferred"
"151","deferred","deferred","1","1","0","1","deferred","0","1","1","1","deferred","1","deferred","deferred","deferred","deferred","1","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","0"
"154","1","deferred","1","deferred","0","1","1","deferred","1","deferred","deferred","deferred","1","deferred","deferred","deferred","1","1","0","deferred","1","deferred","deferred","deferred","0","deferred","deferred"
"155","1","1","1","1","1","1","deferred","1","1","1","1","1","1","deferred","deferred","deferred","1","1","1","1","deferred","deferred","deferred","1","1","1","1"
