"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.947994156550558,0.927425618476081,0.96594344707902,0.969929245283019,0.95748597231464,0.980563912849528,0.352424589537992,0.328369606720122,0.374188621611302
"P1",1,NA,NA,1,NA,NA,0.0927835051546392,NA,NA
"P2",1,NA,NA,1,NA,NA,0.597938144329897,NA,NA
"P3",1,NA,NA,1,NA,NA,0.0206185567010309,NA,NA
"P4",0.910516605166052,NA,NA,0.983050847457627,NA,NA,0.391752577319588,NA,NA
"P5",1,NA,NA,1,NA,NA,0.0824742268041237,NA,NA
"P6",0.752076677316294,NA,NA,0.951219512195122,NA,NA,0.154639175257732,NA,NA
"P7",0.913739439751,NA,NA,0.947368421052632,NA,NA,0.608247422680412,NA,NA
"P8",0.873202614379085,NA,NA,0.945945945945946,NA,NA,0.237113402061856,NA,NA
"P9",1,NA,NA,1,NA,NA,0.206185567010309,NA,NA
"P10",0.909486780715397,NA,NA,0.955223880597015,NA,NA,0.309278350515464,NA,NA
"P11",0.860732232591529,NA,NA,0.969230769230769,NA,NA,0.329896907216495,NA,NA
"P12",1,NA,NA,1,NA,NA,0.43298969072165,NA,NA
"P13",0.857058650162098,NA,NA,0.925373134328358,NA,NA,0.309278350515464,NA,NA
"P14",0.971554252199413,NA,NA,0.984848484848485,NA,NA,0.319587628865979,NA,NA
"P15",0.602459016393443,NA,NA,0.714285714285714,NA,NA,0.855670103092783,NA,NA
"P16",0.836148648648649,NA,NA,0.964285714285714,NA,NA,0.422680412371134,NA,NA
"P17",0.931545518701482,NA,NA,0.971014492753623,NA,NA,0.288659793814433,NA,NA
"P18",1,NA,NA,1,NA,NA,0.329896907216495,NA,NA
"P19",1,NA,NA,1,NA,NA,0.525773195876289,NA,NA
"P20",0.658265582655827,NA,NA,0.8,NA,NA,0.329896907216495,NA,NA
"P21",1,NA,NA,1,NA,NA,0.34020618556701,NA,NA
"P22",0.801229508196721,NA,NA,0.857142857142857,NA,NA,0.927835051546392,NA,NA
"P23",0.922709163346614,NA,NA,0.983050847457627,NA,NA,0.391752577319588,NA,NA
"P24",0.807666886979511,NA,NA,0.957142857142857,NA,NA,0.278350515463918,NA,NA
"P25",0.963547538519354,NA,NA,0.982456140350877,NA,NA,0.412371134020619,NA,NA
"P26",0.619607843137255,NA,NA,0.988235294117647,NA,NA,0.123711340206186,NA,NA
"P27",0.951034830893488,NA,NA,0.987179487179487,NA,NA,0.195876288659794,NA,NA
