"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.953678192453148,0.938547337418564,0.966947452420709,0.973309608540925,0.965039388884352,0.980956757332539,0.356242840778923,0.337151584574265,0.376097747231768
"P1",1,NA,NA,1,NA,NA,0.0824742268041237,NA,NA
"P2",1,NA,NA,1,NA,NA,0.77319587628866,NA,NA
"P3",1,NA,NA,1,NA,NA,0.0206185567010309,NA,NA
"P4",0.913701067615658,NA,NA,0.987654320987654,NA,NA,0.164948453608247,NA,NA
"P5",1,NA,NA,1,NA,NA,0.0515463917525773,NA,NA
"P6",0.831694621168305,NA,NA,0.964285714285714,NA,NA,0.134020618556701,NA,NA
"P7",0.919301164725458,NA,NA,0.95,NA,NA,0.587628865979381,NA,NA
"P8",0.936015831134565,NA,NA,0.972222222222222,NA,NA,0.257731958762887,NA,NA
"P9",0.901821862348178,NA,NA,0.985714285714286,NA,NA,0.278350515463918,NA,NA
"P10",0.910129709697344,NA,NA,0.955223880597015,NA,NA,0.309278350515464,NA,NA
"P11",1,NA,NA,1,NA,NA,0.298969072164948,NA,NA
"P12",1,NA,NA,1,NA,NA,0.443298969072165,NA,NA
"P13",0.808866995073892,NA,NA,0.9,NA,NA,0.381443298969072,NA,NA
"P14",0.963738317757009,NA,NA,0.980392156862745,NA,NA,0.474226804123711,NA,NA
"P15",0.533653846153846,NA,NA,0.666666666666667,NA,NA,0.938144329896907,NA,NA
"P16",0.732536764705882,NA,NA,0.949152542372881,NA,NA,0.391752577319588,NA,NA
"P17",0.968238375900458,NA,NA,0.985915492957746,NA,NA,0.268041237113402,NA,NA
"P18",1,NA,NA,1,NA,NA,0.185567010309278,NA,NA
"P19",1,NA,NA,1,NA,NA,0.474226804123711,NA,NA
"P20",0.684495843874232,NA,NA,0.816326530612245,NA,NA,0.494845360824742,NA,NA
"P21",1,NA,NA,1,NA,NA,0.391752577319588,NA,NA
"P22",0.517412935323383,NA,NA,0.666666666666667,NA,NA,0.938144329896907,NA,NA
"P23",0.83927091963546,NA,NA,0.966666666666667,NA,NA,0.381443298969072,NA,NA
"P24",0.758104738154613,NA,NA,0.948717948717949,NA,NA,0.195876288659794,NA,NA
"P25",0.965270318653777,NA,NA,0.983333333333333,NA,NA,0.381443298969072,NA,NA
"P26",0.735694822888283,NA,NA,0.989130434782609,NA,NA,0.0515463917525773,NA,NA
"P27",0.94532130777903,NA,NA,0.985915492957746,NA,NA,0.268041237113402,NA,NA
