"","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","A11"
"100","deferred","1","1","0","0","1","1","deferred","1","1","deferred"
"102","deferred","0","deferred","0","0","0","0","0","NA","deferred","0"
"103","deferred","deferred","deferred","deferred","deferred","1","0","0","1","deferred","deferred"
"104","deferred","0","deferred","deferred","deferred","1","0","0","NA","deferred","deferred"
"105","deferred","deferred","deferred","deferred","deferred","1","deferred","deferred","NA","deferred","deferred"
"106","deferred","deferred","deferred","deferred","deferred","1","1","1","1","deferred","deferred"
"107","deferred","1","1","deferred","deferred","1","1","deferred","1","deferred","1"
"109","deferred","1","deferred","deferred","deferred","1","deferred","deferred","1","deferred","deferred"
"110","deferred","1","deferred","0","deferred","1","0","deferred","deferred","deferred","deferred"
"111","0","0","0","0","0","0","0","0","NA","deferred","0"
"112","deferred","1","1","deferred","0","deferred","deferred","deferred","1","deferred","deferred"
"113","deferred","deferred","deferred","deferred","deferred","0","1","1","NA","deferred","deferred"
"115","0","1","deferred","0","0","1","1","deferred","1","1","deferred"
"116","deferred","1","1","0","deferred","1","1","1","deferred","0","1"
"117","deferred","deferred","1","deferred","0","1","deferred","deferred","deferred","deferred","0"
"118","deferred","1","deferred","deferred","deferred","1","1","1","1","1","deferred"
"119","deferred","1","deferred","0","deferred","1","deferred","deferred","NA","deferred","deferred"
"120","deferred","1","1","0","0","1","1","0","deferred","1","deferred"
"121","1","1","1","0","1","1","deferred","0","1","1","1"
"122","1","1","1","1","1","1","1","1","1","1","1"
"123","deferred","1","1","0","0","1","0","deferred","deferred","deferred","deferred"
"124","deferred","1","1","0","deferred","1","1","1","deferred","deferred","deferred"
"125","deferred","0","1","0","deferred","1","1","1","deferred","deferred","1"
"126","deferred","deferred","deferred","deferred","deferred","1","deferred","deferred","1","1","1"
"127","deferred","0","deferred","deferred","deferred","deferred","1","deferred","NA","deferred","1"
"129","deferred","1","1","0","deferred","1","1","1","deferred","deferred","deferred"
"131","deferred","1","deferred","deferred","deferred","1","1","1","NA","deferred","1"
"132","deferred","0","1","deferred","0","1","0","0","NA","deferred","deferred"
"133","deferred","0","0","0","0","0","0","0","deferred","deferred","0"
"134","deferred","deferred","deferred","0","0","deferred","0","0","deferred","0","1"
"135","deferred","0","1","deferred","deferred","1","deferred","deferred","NA","deferred","deferred"
"136","deferred","0","0","0","deferred","1","0","0","deferred","deferred","deferred"
"137","deferred","deferred","1","deferred","deferred","1","1","1","1","deferred","deferred"
"138","deferred","1","1","deferred","0","1","1","1","1","deferred","deferred"
"139","deferred","deferred","deferred","deferred","0","1","0","0","deferred","deferred","deferred"
"140","deferred","0","deferred","0","0","deferred","0","0","NA","deferred","deferred"
"141","deferred","0","deferred","0","0","1","deferred","deferred","NA","deferred","deferred"
"142","1","deferred","1","deferred","deferred","1","1","1","deferred","1","deferred"
"145","deferred","deferred","deferred","deferred","0","1","deferred","1","NA","deferred","0"
"146","deferred","1","1","deferred","deferred","1","1","deferred","1","deferred","deferred"
"147","deferred","deferred","deferred","0","deferred","1","1","deferred","1","deferred","deferred"
"148","deferred","1","deferred","0","deferred","1","1","deferred","deferred","0","deferred"
"149","deferred","0","1","deferred","0","1","deferred","1","NA","deferred","deferred"
"151","deferred","deferred","1","deferred","deferred","1","deferred","deferred","1","deferred","deferred"
"154","deferred","0","deferred","0","deferred","1","1","1","deferred","deferred","deferred"
"155","1","1","deferred","0","0","1","1","deferred","1","deferred","deferred"
"156","deferred","deferred","deferred","deferred","0","1","0","0","NA","deferred","1"
"157","1","1","1","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"159","deferred","deferred","deferred","deferred","deferred","1","1","deferred","deferred","deferred","1"
"160","1","1","1","1","0","deferred","deferred","1","deferred","deferred","1"
"161","deferred","1","1","0","deferred","1","deferred","deferred","1","1","1"
"162","1","1","1","deferred","0","deferred","1","1","deferred","deferred","1"
"163","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred"
"164","deferred","0","deferred","deferred","deferred","1","0","deferred","1","1","deferred"
"165","deferred","0","deferred","0","0","1","0","0","NA","deferred","deferred"
"166","deferred","1","1","deferred","0","1","1","1","1","1","deferred"
"167","deferred","1","1","0","deferred","1","1","deferred","1","0","0"
"168","deferred","deferred","deferred","deferred","deferred","1","deferred","deferred","NA","deferred","deferred"
"170","deferred","0","deferred","deferred","deferred","1","deferred","deferred","NA","deferred","deferred"
"171","deferred","deferred","1","0","deferred","1","0","0","1","0","0"
"61","deferred","deferred","1","1","deferred","1","deferred","deferred","deferred","deferred","deferred"
"62","deferred","deferred","1","deferred","deferred","1","deferred","deferred","deferred","deferred","deferred"
"63","deferred","0","deferred","deferred","deferred","1","0","0","deferred","deferred","deferred"
"64","1","1","deferred","deferred","deferred","1","1","1","1","deferred","1"
"65","deferred","1","1","deferred","deferred","deferred","1","deferred","1","0","deferred"
"66","deferred","deferred","deferred","deferred","0","1","deferred","deferred","1","deferred","deferred"
"67","deferred","0","1","0","0","1","0","0","deferred","deferred","1"
"68","deferred","1","deferred","0","deferred","1","1","deferred","1","deferred","deferred"
"69","deferred","deferred","deferred","deferred","deferred","1","0","0","deferred","deferred","deferred"
"70","deferred","0","1","0","0","1","1","0","deferred","deferred","1"
"71","deferred","deferred","1","deferred","deferred","1","0","deferred","1","deferred","deferred"
"72","deferred","0","deferred","deferred","0","deferred","0","deferred","deferred","deferred","deferred"
"73","deferred","deferred","deferred","0","0","0","deferred","deferred","NA","deferred","deferred"
"75","deferred","deferred","1","0","deferred","deferred","1","1","NA","deferred","0"
"76","deferred","1","1","deferred","0","1","1","1","1","1","deferred"
"77","deferred","1","deferred","0","0","1","0","0","1","deferred","1"
"78","deferred","deferred","1","deferred","deferred","1","0","0","1","deferred","deferred"
"79","deferred","1","deferred","0","deferred","1","0","0","NA","deferred","deferred"
"81","1","1","1","deferred","deferred","1","1","deferred","1","1","1"
"82","1","1","1","deferred","deferred","1","1","1","1","1","deferred"
"83","1","deferred","1","deferred","deferred","1","deferred","deferred","deferred","0","1"
"84","deferred","deferred","deferred","deferred","deferred","1","1","1","1","1","deferred"
"85","deferred","0","0","0","0","deferred","1","deferred","NA","deferred","deferred"
"86","deferred","0","deferred","0","0","deferred","deferred","deferred","NA","deferred","deferred"
"87","1","deferred","1","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred"
"88","deferred","1","1","deferred","deferred","1","1","1","deferred","1","deferred"
"89","deferred","deferred","deferred","deferred","0","1","0","0","deferred","deferred","deferred"
"90","deferred","1","deferred","0","0","1","0","0","deferred","0","0"
"91","deferred","deferred","deferred","0","deferred","1","0","0","deferred","deferred","deferred"
"92","deferred","0","1","0","0","1","0","0","deferred","deferred","deferred"
"93","deferred","deferred","deferred","deferred","deferred","1","0","0","deferred","deferred","deferred"
"94","0","deferred","deferred","0","0","1","0","0","NA","deferred","0"
"95","deferred","0","1","deferred","deferred","1","0","deferred","deferred","deferred","1"
"96","deferred","0","deferred","0","0","deferred","0","0","deferred","0","1"
"97","deferred","deferred","1","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred"
"98","deferred","1","deferred","0","deferred","1","1","1","deferred","1","deferred"
"99","deferred","deferred","deferred","0","0","deferred","0","0","NA","deferred","0"
