"","P1","P2","P3","P4","P5","P6","P7","P8","P9","P10","P11","P12","P13","P14","P15","P16","P17","P18","P19","P20","P21","P22","P23","P24","P25","P26","P27"
"100","1","deferred","1","1","0","1","1","deferred","1","1","1","deferred","1","deferred","deferred","deferred","1","1","deferred","1","deferred","deferred","deferred","1","1","1","0"
"102","deferred","deferred","1","1","0","deferred","0","0","0","0","0","deferred","0","NA","deferred","deferred","0","deferred","0","0","deferred","deferred","deferred","deferred","deferred","1","0"
"103","1","deferred","1","deferred","0","1","1","deferred","1","deferred","deferred","deferred","1","deferred","deferred","deferred","1","1","deferred","1","deferred","deferred","deferred","1","1","1","deferred"
"104","1","0","1","1","0","1","1","0","deferred","0","deferred","0","deferred","NA","deferred","NA","deferred","1","0","deferred","NA","deferred","NA","1","1","1","deferred"
"105","1","deferred","1","deferred","0","1","1","deferred","deferred","deferred","deferred","0","deferred","NA","deferred","NA","deferred","1","0","deferred","NA","deferred","NA","1","deferred","1","0"
"106","1","deferred","1","1","0","1","deferred","1","1","deferred","1","deferred","1","deferred","deferred","deferred","1","1","deferred","1","deferred","deferred","deferred","1","deferred","1","deferred"
"107","1","deferred","1","1","0","1","deferred","deferred","1","1","1","deferred","1","deferred","deferred","NA","1","1","1","1","deferred","deferred","NA","1","deferred","1","1"
"110","1","0","1","deferred","0","deferred","deferred","0","deferred","deferred","deferred","0","deferred","NA","deferred","NA","deferred","deferred","0","deferred","NA","deferred","NA","deferred","deferred","1","0"
"111","1","deferred","deferred","deferred","deferred","0","0","0","0","0","0","0","NA","NA","deferred","NA","0","0","0","0","NA","deferred","NA","deferred","0","deferred","0"
"112","1","deferred","1","1","deferred","1","1","1","1","1","1","1","1","deferred","deferred","NA","1","1","1","1","deferred","NA","NA","1","1","1","deferred"
"113","1","deferred","1","1","0","deferred","deferred","0","deferred","0","0","0","deferred","NA","deferred","NA","0","0","0","deferred","NA","deferred","NA","deferred","0","1","0"
"115","1","deferred","1","deferred","0","1","deferred","deferred","1","1","deferred","deferred","1","deferred","deferred","NA","1","1","deferred","1","deferred","deferred","NA","deferred","deferred","1","deferred"
"116","1","deferred","1","1","0","1","deferred","1","1","1","1","1","1","deferred","deferred","NA","1","1","1","1","deferred","deferred","NA","1","deferred","1","0"
"117","1","1","1","1","deferred","1","1","deferred","1","1","1","1","1","deferred","deferred","deferred","1","1","1","1","deferred","deferred","deferred","1","deferred","1","deferred"
"118","1","deferred","1","1","0","1","1","deferred","1","1","deferred","deferred","1","deferred","deferred","deferred","1","1","1","1","deferred","deferred","deferred","1","1","1","0"
"119","1","deferred","1","1","0","1","1","1","1","1","1","1","deferred","NA","deferred","NA","1","1","1","deferred","NA","deferred","NA","1","deferred","1","0"
"120","1","deferred","1","1","0","1","1","deferred","1","1","1","0","1","deferred","deferred","NA","1","1","0","1","deferred","deferred","NA","1","deferred","1","1"
"121","1","deferred","1","1","0","1","1","deferred","1","1","deferred","deferred","1","deferred","deferred","NA","1","1","deferred","1","deferred","deferred","NA","1","1","1","deferred"
"123","1","deferred","1","1","0","1","1","deferred","1","1","1","0","1","deferred","deferred","NA","deferred","1","0","1","deferred","deferred","NA","1","deferred","1","0"
"124","1","deferred","1","1","0","1","deferred","0","1","1","deferred","deferred","1","deferred","deferred","deferred","deferred","1","0","1","deferred","deferred","deferred","1","deferred","1","0"
"125","deferred","deferred","1","1","0","1","1","0","1","1","deferred","0","deferred","deferred","deferred","deferred","deferred","deferred","0","deferred","deferred","deferred","deferred","1","1","1","0"
"126","1","deferred","1","1","0","1","1","1","1","1","1","deferred","1","deferred","deferred","deferred","1","1","0","1","deferred","deferred","deferred","1","deferred","1","0"
"127","1","deferred","1","1","0","1","deferred","0","1","0","deferred","0","deferred","NA","deferred","NA","deferred","0","0","deferred","NA","deferred","NA","1","deferred","1","deferred"
"129","1","deferred","1","1","0","1","deferred","0","1","1","deferred","0","1","deferred","deferred","deferred","1","1","0","1","deferred","deferred","deferred","1","deferred","1","deferred"
"131","1","deferred","1","1","0","1","deferred","deferred","1","1","1","0","deferred","NA","deferred","NA","1","1","0","deferred","NA","deferred","NA","1","1","1","deferred"
"132","1","0","1","1","0","0","deferred","0","deferred","0","0","0","deferred","NA","deferred","NA","0","0","0","deferred","NA","deferred","NA","deferred","0","1","0"
"133","0","deferred","1","deferred","0","deferred","deferred","0","deferred","0","0","0","deferred","NA","deferred","NA","0","0","0","0","NA","deferred","NA","deferred","deferred","deferred","0"
"134","1","1","1","1","0","1","deferred","0","1","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","deferred","1","1","1","deferred"
"136","deferred","deferred","1","deferred","deferred","deferred","deferred","0","0","deferred","deferred","0","0","NA","deferred","NA","0","deferred","0","deferred","NA","deferred","NA","deferred","deferred","1","deferred"
"137","1","0","1","deferred","0","1","deferred","deferred","1","deferred","deferred","deferred","deferred","NA","deferred","NA","1","deferred","0","1","deferred","deferred","NA","1","1","1","0"
"138","1","deferred","1","1","0","1","deferred","deferred","1","0","1","0","1","deferred","deferred","NA","1","1","0","1","deferred","deferred","NA","1","1","1","0"
"139","1","deferred","1","1","0","1","deferred","0","0","0","deferred","0","0","deferred","deferred","deferred","0","0","0","0","deferred","deferred","deferred","deferred","1","1","0"
"140","1","deferred","1","1","0","1","deferred","deferred","1","deferred","deferred","0","deferred","NA","deferred","NA","1","1","deferred","deferred","NA","deferred","NA","1","deferred","1","0"
"141","1","deferred","1","1","0","1","1","deferred","1","deferred","deferred","0","deferred","NA","deferred","deferred","1","deferred","deferred","deferred","deferred","deferred","0","1","1","1","0"
"142","1","1","1","1","deferred","1","1","deferred","1","1","deferred","deferred","deferred","deferred","deferred","deferred","1","1","1","1","deferred","deferred","deferred","1","deferred","1","0"
"145","1","deferred","1","1","0","1","deferred","0","1","1","1","deferred","deferred","NA","deferred","deferred","1","1","deferred","deferred","NA","deferred","NA","1","1","1","deferred"
"146","1","deferred","1","1","0","1","1","deferred","1","1","1","1","1","deferred","deferred","deferred","1","1","1","1","deferred","deferred","deferred","1","1","1","deferred"
"147","1","deferred","1","1","0","1","deferred","0","1","1","1","deferred","1","deferred","deferred","deferred","deferred","1","0","1","deferred","deferred","deferred","1","1","1","0"
"148","1","deferred","1","1","0","1","deferred","deferred","1","1","1","deferred","1","deferred","deferred","deferred","1","1","deferred","1","deferred","deferred","deferred","1","1","1","deferred"
"149","1","1","1","1","deferred","1","deferred","deferred","1","deferred","deferred","deferred","deferred","NA","deferred","NA","1","1","1","deferred","NA","deferred","NA","1","1","1","0"
"151","1","deferred","1","1","0","1","deferred","0","1","1","deferred","deferred","deferred","deferred","deferred","deferred","1","1","deferred","1","deferred","deferred","deferred","1","1","1","0"
"154","1","1","1","1","0","1","1","deferred","1","1","1","1","1","deferred","deferred","deferred","1","1","deferred","1","deferred","deferred","deferred","1","deferred","1","deferred"
"155","1","1","1","1","1","1","deferred","1","1","1","1","1","1","deferred","deferred","deferred","1","1","1","1","deferred","deferred","deferred","1","1","1","1"
"156","1","deferred","1","1","0","1","deferred","0","1","1","1","deferred","NA","NA","deferred","NA","1","1","deferred","deferred","NA","deferred","NA","1","1","1","deferred"
"157","deferred","1","1","1","deferred","1","1","deferred","1","deferred","deferred","deferred","deferred","NA","deferred","NA","1","deferred","deferred","deferred","NA","deferred","NA","1","1","1","deferred"
"159","1","deferred","1","1","0","1","deferred","deferred","deferred","deferred","deferred","0","deferred","deferred","0","deferred","deferred","deferred","0","1","deferred","0","deferred","deferred","deferred","1","0"
"160","deferred","1","1","1","deferred","1","1","1","1","1","1","1","1","deferred","deferred","NA","1","deferred","deferred","deferred","NA","deferred","NA","1","1","1","deferred"
"161","1","deferred","1","1","0","1","deferred","1","1","1","1","1","1","deferred","deferred","deferred","1","1","1","1","deferred","deferred","deferred","1","deferred","1","0"
"162","1","deferred","1","1","0","deferred","0","deferred","deferred","deferred","deferred","deferred","deferred","NA","deferred","deferred","deferred","deferred","deferred","deferred","NA","deferred","NA","deferred","deferred","1","0"
"163","1","deferred","1","1","deferred","0","deferred","0","deferred","0","0","0","deferred","NA","deferred","NA","0","0","0","deferred","NA","deferred","NA","1","0","1","deferred"
"164","1","deferred","1","1","0","1","deferred","deferred","deferred","deferred","deferred","0","deferred","deferred","deferred","deferred","deferred","1","0","1","deferred","deferred","deferred","1","0","1","0"
"165","1","deferred","deferred","1","0","1","deferred","1","1","deferred","1","0","NA","NA","deferred","NA","1","1","deferred","deferred","NA","deferred","NA","1","1","1","deferred"
"166","1","deferred","1","1","0","1","deferred","deferred","1","1","1","deferred","1","deferred","deferred","deferred","1","1","deferred","1","deferred","deferred","deferred","1","1","1","0"
"167","1","deferred","1","1","0","1","deferred","0","deferred","0","deferred","0","deferred","deferred","deferred","deferred","deferred","deferred","0","1","deferred","deferred","deferred","1","deferred","1","deferred"
"168","1","0","1","deferred","0","deferred","1","0","deferred","deferred","deferred","0","deferred","NA","deferred","NA","deferred","deferred","0","deferred","NA","deferred","NA","deferred","deferred","deferred","0"
"170","deferred","deferred","1","1","deferred","1","deferred","deferred","1","deferred","1","deferred","deferred","NA","deferred","NA","deferred","1","deferred","deferred","NA","deferred","NA","1","deferred","1","deferred"
