"","cohen_kappa_w","cohen_kappa_w_ci_low","cohen_kappa_w_ci_high","agreement","agreement_ci_low","agreement_ci_high","deferring_fraction","deferring_fraction_ci_low","deferring_fraction_ci_high"
"combined",0.960937345684113,0.945427972315807,0.975053484810327,0.977737665463297,0.968696933104546,0.985813675801509,0.365406643757159,0.348224513172967,0.382970599465445
"P1",1,NA,NA,1,NA,NA,0.103092783505155,NA,NA
"P2",1,NA,NA,1,NA,NA,0.865979381443299,NA,NA
"P3",1,NA,NA,1,NA,NA,0.0206185567010309,NA,NA
"P4",0.906370656370656,NA,NA,0.9875,NA,NA,0.175257731958763,NA,NA
"P5",1,NA,NA,1,NA,NA,0.0721649484536082,NA,NA
"P6",0.767664670658683,NA,NA,0.955056179775281,NA,NA,0.0824742268041237,NA,NA
"P7",0.91695205479452,NA,NA,0.947368421052632,NA,NA,0.608247422680412,NA,NA
"P8",0.898782608695652,NA,NA,0.956521739130435,NA,NA,0.288659793814433,NA,NA
"P9",1,NA,NA,1,NA,NA,0.185567010309278,NA,NA
"P10",0.968331700946784,NA,NA,0.984848484848485,NA,NA,0.319587628865979,NA,NA
"P11",0.93489932885906,NA,NA,0.985074626865672,NA,NA,0.309278350515464,NA,NA
"P12",1,NA,NA,1,NA,NA,0.402061855670103,NA,NA
"P13",0.824909747292419,NA,NA,0.909090909090909,NA,NA,0.319587628865979,NA,NA
"P14",0.957437472575691,NA,NA,0.976744186046512,NA,NA,0.556701030927835,NA,NA
"P15",NA,NA,NA,NA,NA,NA,1,NA,NA
"P16",0.787280701754386,NA,NA,0.964912280701754,NA,NA,0.412371134020619,NA,NA
"P17",1,NA,NA,1,NA,NA,0.247422680412371,NA,NA
"P18",1,NA,NA,1,NA,NA,0.206185567010309,NA,NA
"P19",1,NA,NA,1,NA,NA,0.422680412371134,NA,NA
"P20",0.710014947683109,NA,NA,0.846153846153846,NA,NA,0.463917525773196,NA,NA
"P21",1,NA,NA,1,NA,NA,0.525773195876289,NA,NA
"P22",1,NA,NA,1,NA,NA,0.989690721649485,NA,NA
"P23",0.829824561403509,NA,NA,0.966666666666667,NA,NA,0.381443298969072,NA,NA
"P24",0.731301939058172,NA,NA,0.947368421052632,NA,NA,0.216494845360825,NA,NA
"P25",1,NA,NA,1,NA,NA,0.402061855670103,NA,NA
"P26",0.648550724637681,NA,NA,0.989130434782609,NA,NA,0.0515463917525773,NA,NA
"P27",0.951475737868934,NA,NA,0.986486486486487,NA,NA,0.237113402061856,NA,NA
